t, desired_pos, desired_vel, desired_tor, pos, vel, tau
1.545357704162597656e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.758241758241751995e-02,-3.129670329670318552e+00
5.908131599426269531e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-3.270329670329658711e+00
9.102439880371093750e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.160439560439556317e+00
1.229224205017089844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.441758241758236636e+00
1.564369201660156250e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.371428571428566556e+00
1.913478374481201172e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,5.860805860805839984e-03,-1.371428571428566556e+00
2.250342369079589844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,5.860805860805839984e-03,-1.230769230769226397e+00
2.576329708099365234e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,5.860805860805839984e-03,-1.512087912087906716e+00
2.897064685821533203e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.367521367521362663e-02,-1.230769230769226397e+00
3.214557170867919922e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,1.953601953601946661e-03,-1.441758241758236636e+00
3.535571098327636719e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.230769230769226397e+00
3.850367069244384766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.230769230769226397e+00
4.165694713592529297e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.230769230769226397e+00
4.481709003448486328e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.230769230769226397e+00
4.796733856201171875e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.230769230769226397e+00
5.173041820526123047e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
5.503966808319091797e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.441758241758236636e+00
5.818822383880615234e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,5.860805860805839984e-03,-1.160439560439556317e+00
6.131253242492675781e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,5.860805860805839984e-03,-1.371428571428566556e+00
6.446931362152099609e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.367521367521362663e-02,-1.230769230769226397e+00
6.759657859802246094e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.512087912087906716e+00
7.078278064727783203e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,5.860805860805839984e-03,-1.441758241758236636e+00
7.393558025360107422e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.512087912087906716e+00
7.714362144470214844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.301098901098896476e+00
8.026745319366455078e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.230769230769226397e+00
8.341331481933593750e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.371428571428566556e+00
8.660225868225097656e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
8.972680568695068359e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.441758241758236636e+00
9.282956123352050781e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.652747252747246876e+00
9.601366519927978516e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-2.539682539682530660e-02,-1.371428571428566556e+00
9.912998676300048828e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,5.860805860805839984e-03,-1.512087912087906716e+00
1.027119398117065430e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
1.067700624465942383e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,-5.860805860805839984e-03,-1.371428571428566556e+00
1.099398851394653320e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-9.768009768009733307e-03,-1.512087912087906716e+00
1.131044864654541016e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-9.768009768009733307e-03,-1.371428571428566556e+00
1.162653446197509766e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
1.182197570800781250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,1.758241758241751995e-02,-1.371428571428566556e+00
1.214317321777343750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.090109890109886237e+00
1.257462978363037109e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.512087912087906716e+00
1.289532899856567383e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.367521367521362663e-02,-1.441758241758236636e+00
1.321030616760253906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.230769230769226397e+00
1.351979970932006836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.441758241758236636e+00
1.397911548614501953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-9.768009768009733307e-03,-1.301098901098896476e+00
1.429665803909301758e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
1.461965322494506836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.301098901098896476e+00
1.506875276565551758e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.230769230769226397e+00
1.537908554077148438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.512087912087906716e+00
1.580719232559204102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
1.611850500106811523e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,5.860805860805839984e-03,-1.301098901098896476e+00
1.644048452377319336e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.301098901098896476e+00
1.675907611846923828e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.371428571428566556e+00
1.707410097122192383e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-1.953601953601946661e-03,-1.371428571428566556e+00
1.739124298095703125e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,1.953601953601946661e-03,-1.441758241758236636e+00
1.771016836166381836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,5.860805860805839984e-03,-1.441758241758236636e+00
1.814665079116821289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-9.768009768009733307e-03,-1.441758241758236636e+00
1.846805572509765625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.427862973983344830e-02,5.860805860805839984e-03,-1.371428571428566556e+00
1.878315448760986328e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-9.768009768009733307e-03,-1.441758241758236636e+00
1.910177707672119141e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.230769230769226397e+00
1.941411495208740234e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.389715419241603911e-02,-5.860805860805839984e-03,-1.230769230769226397e+00
